Time,Location,Trips
6,11,378
6,12,100
6,13,308
6,14,750
6,16,646
6,17,274
6,18,350
6,19,428
6,20,632
6,21,524
6,22,554
6,23,621
6,24,155
6,26,591
6,27,841
6,28,632
6,29,167
6,30,677
6,31,1092
6,32,561
6,33,339
6,34,186
6,37,484
6,38,53
6,39,300
6,40,1491
6,42,584
6,43,447
6,44,629
6,48,623
6,49,2029
6,50,1542
6,7,4558
6,8,1659
6,9,4729
7,11,857
7,12,165
7,13,963
7,14,1593
7,16,1329
7,17,827
7,18,1034
7,19,1126
7,20,1779
7,21,1445
7,22,1565
7,23,1486
7,24,714
7,26,1652
7,27,2291
7,28,1675
7,29,718
7,30,1422
7,31,2117
7,32,1293
7,33,952
7,34,674
7,37,1279
7,38,137
7,39,734
7,40,3158
7,42,1404
7,43,826
7,44,1334
7,48,1276
7,49,3846
7,50,2999
7,7,6477
7,8,2830
7,9,7486
8,11,1257
8,12,296
8,13,1172
8,14,1793
8,16,1610
8,17,1495
8,18,1440
8,19,1646
8,20,2031
8,21,1812
8,22,2385
8,23,2138
8,24,918
8,26,1916
8,27,3337
8,28,2646
8,29,1010
8,30,1588
8,31,2890
8,32,1713
8,33,1587
8,34,971
8,37,1619
8,38,231
8,39,1249
8,40,3531
8,42,1938
8,43,934
8,44,1497
8,48,1652
8,49,4284
8,50,2680
8,7,6254
8,8,3202
8,9,8071
9,11,1178
9,12,325
9,13,1031
9,14,1669
9,16,1671
9,17,1613
9,18,1474
9,19,1704
9,20,1940
9,21,1671
9,22,2353
9,23,2217
9,24,729
9,26,1979
9,27,3566
9,28,3006
9,29,984
9,30,1370
9,31,3270
9,32,1941
9,33,1573
9,34,918
9,37,1818
9,38,296
9,39,1238
9,40,2929
9,42,2044
9,43,943
9,44,1162
9,48,1649
9,49,3961
9,50,2046
9,7,5469
9,8,2951
9,9,6954
10,11,1362
10,12,319
10,13,1150
10,14,1721
10,16,1888
10,17,1827
10,18,1696
10,19,2149
10,20,1993
10,21,1883
10,22,2559
10,23,2551
10,24,777
10,26,2379
10,27,4078
10,28,3524
10,29,1218
10,30,1282
10,31,3882
10,32,2218
10,33,1818
10,34,935
10,37,2132
10,38,289
10,39,1311
10,40,2934
10,42,2192
10,43,1013
10,44,1154
10,48,1871
10,49,4088
10,50,1866
10,7,5085
10,8,3069
10,9,6745
11,11,1395
11,12,394
11,13,1201
11,14,1990
11,16,2170
11,17,2176
11,18,2022
11,19,2468
11,20,2217
11,21,2178
11,22,2901
11,23,2990
11,24,951
11,26,2575
11,27,4694
11,28,4324
11,29,1404
11,30,1283
11,31,4456
11,32,2592
11,33,2083
11,34,1057
11,37,2556
11,38,302
11,39,1506
11,40,3034
11,42,2510
11,43,1249
11,44,1382
11,48,2302
11,49,4399
11,50,2014
11,7,5317
11,8,3568
11,9,7206
12,11,1740
12,12,451
12,13,1521
12,14,2335
12,16,2551
12,17,2982
12,18,2304
12,19,3111
12,20,2509
12,21,2535
12,22,3456
12,23,3653
12,24,1088
12,26,2971
12,27,5477
12,28,5327
12,29,1445
12,30,1298
12,31,5095
12,32,3111
12,33,2533
12,34,1190
12,37,3317
12,38,372
12,39,1930
12,40,3440
12,42,2972
12,43,1534
12,44,1472
12,48,2774
12,49,5015
12,50,2126
12,7,5745
12,8,4172
12,9,7935
13,11,1788
13,12,438
13,13,1654
13,14,2480
13,16,2722
13,17,2975
13,18,2596
13,19,3380
13,20,2678
13,21,2713
13,22,3634
13,23,3889
13,24,1217
13,26,3099
13,27,5734
13,28,5615
13,29,1593
13,30,1477
13,31,5329
13,32,3411
13,33,2913
13,34,1304
13,37,3478
13,38,413
13,39,1989
13,40,3761
13,42,3124
13,43,1572
13,44,1579
13,48,2818
13,49,5166
13,50,2297
13,7,5843
13,8,4213
13,9,7779
14,11,1797
14,12,439
14,13,1622
14,14,2373
14,16,2792
14,17,2789
14,18,2453
14,19,3368
14,20,2529
14,21,2678
14,22,3435
14,23,3769
14,24,1147
14,26,3068
14,27,5719
14,28,5623
14,29,1552
14,30,1434
14,31,4978
14,32,3478
14,33,2799
14,34,1353
14,37,3351
14,38,398
14,39,2003
14,40,3708
14,42,3178
14,43,1610
14,44,1629
14,48,2953
14,49,4934
14,50,2155
14,7,5588
14,8,3978
14,9,7213
15,11,1856
15,12,481
15,13,1691
15,14,2418
15,16,3010
15,17,3063
15,18,2498
15,19,3376
15,20,2759
15,21,2749
15,22,3597
15,23,3894
15,24,1247
15,26,3227
15,27,5854
15,28,5904
15,29,1606
15,30,1423
15,31,4966
15,32,3665
15,33,2904
15,34,1478
15,37,3302
15,38,412
15,39,2011
15,40,3642
15,42,3392
15,43,1681
15,44,1676
15,48,2856
15,49,4724
15,50,2352
15,7,5541
15,8,3921
15,9,7354
16,11,1891
16,12,417
16,13,1685
16,14,2595
16,16,3079
16,17,3186
16,18,2600
16,19,3551
16,20,2524
16,21,2685
16,22,3661
16,23,3807
16,24,1245
16,26,3220
16,27,6003
16,28,5874
16,29,1705
16,30,1479
16,31,5216
16,32,3844
16,33,3068
16,34,1503
16,37,3508
16,38,346
16,39,2156
16,40,3677
16,42,3261
16,43,1684
16,44,1952
16,48,2827
16,49,4826
16,50,2259
16,7,5966
16,8,4237
16,9,7594
17,11,1596
17,12,373
17,13,1570
17,14,2384
17,16,3035
17,17,3332
17,18,2589
17,19,3642
17,20,2186
17,21,2598
17,22,4091
17,23,3891
17,24,1130
17,26,3040
17,27,6988
17,28,6816
17,29,1549
17,30,1377
17,31,5446
17,32,3992
17,33,3193
17,34,1382
17,37,3597
17,38,298
17,39,2342
17,40,3588
17,42,2856
17,43,1759
17,44,1989
17,48,2601
17,49,4682
17,50,1814
17,7,5596
17,8,4454
17,9,6929
18,11,1282
18,12,349
18,13,1525
18,14,1938
18,16,2415
18,17,2835
18,18,2435
18,19,3007
18,20,1613
18,21,2007
18,22,4255
18,23,4017
18,24,917
18,26,2699
18,27,7241
18,28,7527
18,29,1292
18,30,1044
18,31,5279
18,32,4323
18,33,3145
18,34,1057
18,37,3416
18,38,296
18,39,1874
18,40,2701
18,42,2138
18,43,1406
18,44,1381
18,48,2198
18,49,3757
18,50,1565
18,7,4245
18,8,3484
18,9,4955
19,11,988
19,12,255
19,13,1186
19,14,1561
19,16,2028
19,17,2048
19,18,1876
19,19,2423
19,20,1120
19,21,1771
19,22,3783
19,23,3768
19,24,739
19,26,2196
19,27,6810
19,28,6983
19,29,1068
19,30,742
19,31,4814
19,32,3983
19,33,2857
19,34,699
19,37,2914
19,38,184
19,39,1517
19,40,2251
19,42,1591
19,43,1000
19,44,1244
19,48,1665
19,49,2637
19,50,998
19,7,2699
19,8,2506
19,9,3335